,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
756,2,406,2,15.6,6,17,8,9,17,3,2.2,1099.0
757,2,394,6,15.6,3,73,8,3,84,9,2.59,1561.0
758,5,133,4,15.6,20,26,16,12,31,3,4.42,2868.99
759,3,4,2,15.6,5,3,4,3,3,3,2.1,599.0
760,6,12,4,15.6,6,26,8,9,17,3,2.5,1048.0
761,5,407,1,12.5,3,55,16,3,3,3,1.18,1859.0
762,17,244,1,12.3,27,72,8,3,13,8,1.1,1559.0
763,4,408,1,13.3,30,3,8,3,3,3,1.2,1129.0
764,5,231,2,13.3,5,10,4,5,10,3,1.65,849.0
765,3,409,2,13.3,5,36,4,1,10,3,1.6,655.0
766,4,410,2,17.3,5,29,4,7,28,3,2.8,470.34
767,5,332,4,15.6,35,73,16,9,70,3,2.72,1099.0
768,16,399,1,13.3,9,13,8,3,3,3,1.31,1599.0
769,3,108,2,15.6,5,29,4,7,43,5,2.1,298.0
770,5,84,2,15.6,3,13,16,3,38,3,2.3,1181.27
771,16,399,5,15.0,9,13,16,3,85,3,1.71,1799.0
772,10,411,2,14.0,14,36,4,1,10,3,1.75,1020.0
773,5,98,4,15.6,3,26,8,7,17,3,2.62,1099.0
774,2,412,1,12.5,5,36,4,3,10,3,1.26,1244.0
775,4,413,5,15.6,9,13,12,15,15,3,2.3,839.0
776,6,414,2,15.6,21,65,16,4,82,9,2.5,2370.0
777,3,6,2,14.0,6,15,4,1,3,3,1.8,636.0
778,14,121,4,14.0,3,26,16,4,24,3,1.95,2899.0
779,4,415,2,15.6,33,94,8,1,43,3,2.0,581.9
780,5,133,4,17.3,6,26,32,31,86,3,4.42,3588.8
781,4,416,4,17.3,6,73,16,12,31,3,4.3,2350.0
782,10,417,1,14.0,6,50,16,4,53,3,1.47,1764.0
783,6,418,2,15.6,5,95,8,7,58,2,2.2,329.0
784,6,245,1,14.0,3,13,16,4,3,3,1.7,2299.0
785,8,419,4,14.0,6,26,16,12,24,3,1.6,1891.0
786,8,420,4,15.6,3,17,8,9,17,3,2.2,1089.0
787,6,12,4,15.6,6,26,4,7,17,3,2.4,999.0
788,3,421,4,17.3,6,26,16,12,24,3,4.2,2299.0
789,5,98,4,15.6,3,17,8,3,17,3,2.62,985.0
790,4,422,4,15.6,3,26,8,9,87,3,2.24,1339.0
791,13,423,2,14.0,33,24,4,8,22,3,1.22,202.9
792,6,75,5,13.3,8,13,8,4,3,3,1.37,1970.0
793,6,424,5,15.6,9,3,8,3,65,3,2.08,959.0
794,1,8,1,12.0,7,96,8,32,88,4,0.92,1165.0
795,6,158,5,14.0,36,3,8,3,3,3,1.42,2330.0
796,4,425,2,14.0,5,24,4,8,22,3,1.63,299.0
797,5,357,2,15.6,5,3,8,1,3,3,1.95,810.0
798,6,146,5,13.9,8,13,8,3,3,3,1.38,1349.0
799,5,280,2,15.6,3,10,8,3,89,3,2.0,739.0
800,2,307,6,15.6,3,26,8,3,81,3,3.14,2064.9
801,4,426,2,15.6,3,3,8,3,3,3,2.37,1099.0
802,5,10,1,13.3,3,3,8,3,3,3,1.29,1499.0
803,5,116,2,15.6,17,17,8,3,17,3,2.06,1749.0
804,5,427,3,11.6,5,29,4,1,43,3,1.63,744.0
805,2,412,3,12.5,5,60,8,3,3,3,1.26,1389.0
806,10,91,2,15.6,5,36,4,5,10,3,2.1,780.0
807,2,428,2,15.6,5,97,8,15,90,3,2.04,629.0
808,5,98,4,15.6,21,26,16,4,32,3,2.62,1679.0
809,6,330,2,15.6,3,3,4,7,37,3,2.4,609.0
810,2,429,4,17.3,6,26,12,7,27,3,3.74,1749.0
811,8,95,4,17.3,3,26,16,18,31,3,2.9,2415.0
812,16,399,1,13.3,3,3,8,3,3,3,0.81,1499.0
813,5,280,2,15.6,3,13,8,7,60,3,1.98,961.0
814,5,156,2,15.6,3,3,8,3,42,3,2.18,789.81
815,6,430,1,14.0,3,13,8,3,3,3,1.32,1859.0
816,14,431,1,12.5,15,98,16,4,3,3,1.29,1799.0
817,2,315,3,11.6,5,31,4,24,16,8,1.23,385.0
818,5,133,4,17.3,6,26,16,9,24,3,4.36,2505.02
819,5,432,2,14.0,5,36,4,5,10,3,1.76,755.0
820,6,433,2,15.6,5,10,4,5,10,3,2.1,489.9
821,10,434,1,14.0,5,3,4,1,3,3,1.25,1090.0
822,6,212,1,14.0,6,13,8,4,3,3,1.13,2499.0
823,8,435,4,15.6,3,17,8,3,17,3,2.4,1199.0
824,6,158,1,14.0,6,3,8,6,3,3,1.13,1875.0
825,10,91,2,14.0,5,99,4,1,57,3,1.75,499.0
826,4,104,5,13.3,37,3,8,3,3,3,1.1,1358.0
827,5,432,2,14.0,5,10,4,5,10,3,1.76,585.0
828,3,315,3,11.6,14,31,4,8,16,8,1.35,355.0
829,3,6,2,14.0,6,15,8,1,3,3,1.5,619.0
830,14,121,4,17.3,17,43,32,4,46,3,3.49,5499.0
831,6,212,1,14.0,29,50,16,4,10,3,1.1,2099.0
832,4,38,2,15.6,3,3,4,7,91,5,2.1,519.0
833,6,403,2,14.0,3,36,8,3,10,3,1.7,1186.0
834,6,245,2,14.0,6,60,8,3,3,3,1.32,1650.0
835,5,369,4,15.6,3,26,16,12,31,3,3.21,2774.63
836,4,436,4,17.3,3,26,16,12,31,3,2.9,2419.0
837,10,91,2,15.6,5,15,4,5,3,3,2.0,669.0
838,6,437,2,14.0,5,82,4,24,16,8,1.5,325.0
839,4,438,2,15.6,3,3,8,33,3,3,2.3,590.0
840,4,439,4,17.3,3,73,16,18,24,3,2.73,1799.0
841,5,133,4,17.3,6,26,32,18,31,3,4.42,3072.89
842,2,19,2,17.3,19,3,8,7,20,3,2.63,910.0
843,5,156,2,15.6,5,3,8,1,3,3,2.18,713.99
844,2,101,1,14.0,3,45,8,4,10,9,1.54,1870.0
845,5,156,2,15.6,3,13,4,3,42,3,2.18,739.0
846,2,364,5,11.6,22,24,4,8,22,8,1.4,615.0
847,4,440,1,13.3,6,36,8,4,92,3,1.45,1026.0
848,2,175,5,13.3,9,3,8,3,3,3,1.28,2277.0
849,2,101,1,14.0,3,45,8,4,10,3,1.54,1468.0
850,2,3,2,15.6,5,31,4,1,16,2,1.86,299.0
851,4,441,4,15.6,3,26,16,9,24,3,2.1,1899.0
852,5,442,2,17.3,3,13,8,7,38,5,2.83,865.0
853,6,443,1,14.0,6,26,8,3,60,3,1.96,1903.0
854,4,444,2,15.6,6,13,8,3,93,3,2.3,787.0
855,5,287,2,15.6,3,3,8,1,3,3,1.9,945.0
856,4,445,2,15.6,5,29,4,7,43,3,2.0,449.0
857,2,175,5,13.3,9,55,8,3,3,3,1.28,2559.0
858,5,446,2,13.3,9,36,8,7,10,3,1.62,649.0
859,6,323,2,15.6,3,51,4,7,10,2,2.2,469.0
860,6,264,2,15.6,6,3,8,7,3,3,2.3,850.66
861,2,325,2,15.6,3,60,8,3,94,3,1.84,1349.0
862,10,447,2,13.3,3,3,4,1,3,3,1.05,1285.0
863,6,12,4,15.6,6,17,8,7,17,2,2.5,1017.0
864,5,10,1,13.3,13,69,16,4,1,3,1.29,2240.0
865,2,284,2,15.6,3,36,4,5,10,3,2.07,910.0
866,10,448,1,13.3,5,36,8,3,10,3,1.2,1095.0
867,6,75,5,13.3,8,13,8,3,3,3,1.37,1950.0
868,3,449,2,14.0,6,3,8,3,3,3,1.56,902.0
869,5,249,6,15.6,3,26,8,7,64,3,2.23,1778.0
870,6,272,2,15.6,5,3,4,5,3,3,2.38,1055.0
871,6,323,2,15.6,3,10,4,7,12,2,2.2,479.0
872,10,450,2,15.6,6,13,8,3,3,3,2.0,1388.0
873,6,240,2,13.3,6,15,4,28,3,3,1.44,735.0
874,16,399,1,15.0,3,13,16,3,15,3,1.23,1849.0
875,5,407,1,12.5,3,55,8,3,3,3,1.6,1690.0
876,4,451,2,15.6,5,29,4,7,43,5,2.0,398.99
877,12,115,1,13.3,6,36,8,3,15,3,1.28,935.0
878,5,280,2,15.6,3,3,4,9,15,3,2.18,912.5
879,2,25,2,15.6,3,3,4,3,3,3,2.04,839.0
880,2,175,5,13.3,9,3,4,3,3,3,1.28,1700.0
881,2,452,5,15.6,22,3,4,5,3,3,2.3,684.8
882,4,453,2,14.1,5,24,4,8,22,3,1.65,348.0
883,6,454,2,15.6,6,45,8,7,15,3,2.2,669.0
884,5,193,2,15.6,5,58,4,5,21,3,2.2,369.0
885,2,175,5,13.3,9,3,4,3,3,3,1.28,1799.0
886,5,156,2,15.6,5,51,4,7,89,5,2.18,455.7
887,4,455,4,17.3,3,17,12,9,17,3,2.2,1369.9
888,3,456,3,11.6,14,31,4,8,16,8,1.25,297.0
889,6,203,2,17.3,19,100,4,5,95,3,2.8,379.0
890,2,457,2,14.0,3,3,4,1,3,3,1.95,1265.0
891,2,458,5,13.3,13,13,16,3,3,3,1.42,1399.0
892,16,399,1,15.0,3,13,8,3,3,3,1.17,1699.0
893,6,245,1,14.0,6,3,8,3,3,3,1.32,1799.0
894,8,459,4,17.3,20,73,16,26,24,3,2.43,2649.0
895,10,460,2,13.3,3,3,8,3,3,3,1.05,1475.0
896,5,98,4,15.6,3,26,8,7,96,5,2.62,929.0
897,2,25,2,15.6,3,13,8,7,20,3,2.04,900.0
898,5,156,2,15.6,5,51,4,7,89,3,2.18,614.0
899,5,287,2,15.6,3,60,8,5,3,3,1.9,935.0
900,5,10,5,13.3,13,67,8,4,13,3,1.24,2013.1
901,4,461,4,17.3,6,79,32,10,51,3,3.58,1279.0
902,5,10,5,13.3,9,67,16,3,13,3,1.22,1649.0
903,6,158,1,14.0,6,13,8,6,3,3,1.13,2049.0
904,6,296,2,15.6,6,3,8,4,3,3,1.95,1962.99
905,19,462,1,15.6,8,13,16,4,3,3,1.08,2099.0
906,2,186,3,12.5,3,13,8,4,3,3,1.26,1483.0
907,3,463,2,15.6,6,52,4,24,21,8,2.2,359.0
908,6,352,2,15.6,6,89,8,9,70,3,2.6,789.0
909,19,464,1,14.0,8,13,8,4,3,3,0.98,1899.0
910,5,236,2,14.0,3,68,8,3,3,3,1.6,1205.0
911,2,465,1,12.5,17,37,8,34,41,3,1.09,3100.0
912,6,466,2,15.6,3,13,6,3,15,3,2.2,789.0
913,2,25,2,15.6,3,13,8,3,20,3,2.04,1018.99
914,3,185,2,15.6,3,15,4,7,3,3,2.4,499.0
915,6,180,2,13.3,3,3,4,1,3,3,1.44,881.0
916,2,61,2,13.3,3,3,8,3,3,3,1.49,960.0
917,8,467,4,17.3,3,26,16,12,32,3,2.7,1599.0
918,5,98,4,15.6,3,26,16,9,32,3,2.6,1349.0
919,8,435,4,15.6,3,17,8,9,17,3,2.2,1119.91
920,5,156,2,15.6,5,3,4,7,42,3,2.18,684.99
921,2,325,1,15.6,3,45,8,3,97,3,1.84,1296.99
922,2,468,1,13.3,13,13,8,3,3,3,1.39,1149.0
923,10,469,2,15.6,6,50,16,3,53,3,2.4,1975.0
924,6,75,5,13.3,8,3,8,4,3,3,1.37,1825.0
925,5,357,2,15.6,5,36,4,5,10,3,1.95,729.9
926,6,265,1,12.5,6,13,8,3,3,3,1.36,1650.0
927,2,470,2,15.6,3,36,8,3,10,3,2.31,1165.0
928,5,156,2,15.6,5,3,4,7,3,3,2.18,708.06
929,2,181,2,14.0,5,36,4,5,10,3,1.95,1149.0
930,6,174,2,15.6,5,29,4,7,43,3,2.2,309.0
931,2,412,1,12.5,3,36,4,5,10,3,1.26,1579.0
932,2,3,2,15.6,5,31,4,7,16,2,1.86,288.9
933,6,405,5,13.3,31,101,16,19,26,3,1.3,1799.0
934,10,471,2,14.0,6,36,4,1,10,3,1.47,1105.0
935,2,412,3,12.5,3,36,8,3,10,3,1.26,1669.0
936,5,156,2,15.6,5,51,4,7,10,3,2.18,558.6
937,8,472,4,15.6,3,26,8,9,17,3,2.2,1199.0
938,5,199,1,14.0,3,3,8,3,3,3,1.36,1639.0
939,5,133,4,17.3,28,79,16,18,46,3,4.36,2758.0
940,2,473,4,17.3,6,89,8,9,67,3,2.75,1399.0
941,4,474,2,17.3,19,58,4,7,28,3,2.8,530.0
942,3,475,2,15.6,5,3,4,5,3,3,2.23,619.0
943,10,476,2,15.6,5,36,8,3,10,3,2.2,1119.0
944,6,477,5,11.3,8,102,8,3,41,3,1.1,1299.0
945,6,478,4,15.6,6,103,16,18,98,3,2.5,999.0
946,5,407,1,12.5,9,3,8,3,21,3,1.36,1472.2
947,6,330,2,15.6,3,13,8,7,28,2,2.2,685.0
948,5,479,2,17.3,19,51,4,7,38,3,2.36,659.0
949,3,374,2,14.0,5,31,4,8,16,8,1.68,349.0
950,2,480,6,15.6,6,65,8,35,84,3,2.0,2249.0
951,5,199,1,14.0,3,55,8,3,3,3,1.36,1775.0
952,10,481,2,13.3,3,36,8,3,10,9,1.2,1460.0
953,4,377,5,12.5,3,104,8,11,41,8,1.2,1159.0
954,6,403,1,14.0,6,50,8,3,10,3,1.7,1488.99
955,5,133,4,17.3,20,26,16,18,31,3,4.36,3154.0
956,5,10,5,13.3,9,42,8,3,13,3,1.24,1899.0
957,2,482,5,11.6,22,29,4,3,43,3,1.45,775.0
958,5,10,1,13.3,38,45,8,3,10,3,1.3,1268.0
959,3,483,5,11.6,32,31,4,8,16,8,1.25,389.0
960,10,484,2,13.3,3,83,8,3,10,3,1.2,1535.0
961,6,246,1,12.5,6,60,8,3,3,3,1.36,1760.0
962,3,485,2,15.6,3,3,12,9,49,3,2.4,1009.0
963,10,486,1,12.5,9,13,8,4,3,3,1.1,1790.0
964,2,25,2,15.6,5,105,8,7,20,3,2.04,846.5
965,5,7,2,15.6,5,51,4,7,12,5,2.25,465.62
966,5,287,2,15.6,5,3,4,5,3,3,1.9,825.0
967,2,25,2,15.6,3,15,4,5,3,3,2.04,685.0
968,5,133,4,17.3,6,26,32,12,31,3,4.42,3149.0
969,6,330,2,15.6,3,3,6,3,28,3,2.4,695.0
970,5,10,5,13.3,13,67,16,4,13,3,1.22,1899.0
971,5,353,1,14.0,18,50,8,3,10,3,1.5,1962.98
972,5,133,4,17.3,3,73,32,12,31,3,4.42,2800.0
973,10,487,2,14.0,3,36,8,3,10,3,1.95,1180.0
974,4,32,4,17.3,3,26,16,12,24,3,2.73,2049.9
975,2,284,2,15.6,6,106,8,9,20,3,2.04,979.0
976,6,488,2,14.0,5,36,4,36,10,9,1.7,1002.0
977,4,489,5,15.6,17,13,16,26,49,3,2.3,1799.0
978,2,490,2,15.6,5,13,6,7,3,3,2.04,579.0
979,4,491,4,17.3,3,26,16,12,32,3,2.99,1749.0
980,5,492,5,15.6,8,13,12,4,3,3,2.19,1299.0
981,10,493,2,13.3,3,36,4,1,10,9,1.2,1195.0
982,6,194,2,15.6,3,61,6,3,19,3,2.2,549.0
983,18,494,2,15.6,5,36,4,3,10,3,2.3,649.0
984,10,495,2,14.0,5,36,4,5,10,3,1.75,915.0
985,5,7,2,15.6,5,3,4,5,12,3,2.25,599.0
986,2,284,2,15.6,3,3,8,7,3,3,2.04,806.0
987,6,12,4,15.6,6,26,8,9,24,3,2.5,1189.0
988,5,84,2,15.6,5,13,8,7,38,3,2.36,749.0
989,5,236,2,14.0,3,3,8,1,99,3,1.6,1119.0
990,2,93,3,12.5,3,37,8,4,41,3,0.97,1908.0
991,2,496,2,15.6,3,10,4,9,30,3,2.1,499.0
992,6,497,2,15.6,5,24,4,1,22,2,1.9,270.62
993,6,498,2,15.6,3,36,8,3,10,3,2.3,1349.0
994,5,388,5,13.3,9,3,8,3,3,3,1.68,889.0
995,4,499,2,13.3,38,3,8,3,3,3,1.4,1150.0
996,2,500,1,13.3,8,13,8,3,3,3,1.11,1349.0
997,3,501,2,15.6,5,29,4,5,43,3,2.4,380.0
998,4,502,4,15.6,3,26,16,12,32,3,2.5,1799.0
999,2,101,1,14.0,3,13,8,4,3,3,1.48,2089.0
1000,3,503,4,15.6,6,26,8,9,17,3,2.7,1260.0
1001,2,504,2,13.3,6,3,8,3,3,3,1.34,1189.0
1002,5,156,2,15.6,5,15,4,1,3,3,2.18,547.0
1003,2,76,2,14.0,5,3,4,5,3,3,1.64,779.0
1004,10,505,2,13.3,3,36,4,1,10,3,1.2,1195.0
1005,2,101,2,14.0,5,83,4,3,10,3,1.48,1099.99
1006,2,181,2,14.0,3,3,4,3,3,3,1.95,1205.0
1007,2,232,1,14.0,3,50,8,3,10,9,1.43,1449.0
1008,2,55,2,14.0,3,3,8,3,20,3,1.64,1049.26
1009,2,76,2,14.0,5,15,4,5,3,3,1.64,684.0
1010,5,98,4,15.6,3,17,8,17,17,3,2.65,949.0
1011,2,412,1,12.5,3,3,4,5,3,3,1.26,1539.0
1012,2,183,2,14.0,3,3,4,3,3,3,1.48,1590.0
1013,2,101,1,14.0,3,45,8,3,10,3,1.54,1887.21
1014,2,61,2,13.3,5,15,4,5,3,3,1.49,800.0
1015,10,506,2,13.3,5,36,8,3,10,3,1.5,1210.0
1016,2,25,2,15.6,5,15,4,3,3,3,2.04,769.99
1017,6,507,2,17.3,20,65,16,4,100,9,2.4,2968.0
1018,10,508,2,14.0,6,36,8,3,10,3,1.47,1490.0
1019,2,232,2,14.0,3,45,8,3,10,3,1.43,2229.0
1020,5,509,5,15.6,8,74,4,7,10,3,2.08,795.99
1021,10,510,1,13.3,3,36,8,3,10,3,1.2,1590.0
1022,2,511,2,13.3,6,3,8,3,3,3,1.11,1149.0
1023,2,55,2,14.0,3,13,8,3,20,3,1.64,1185.43
1024,5,512,2,15.6,3,83,8,5,10,3,2.09,1046.44
1025,2,186,1,12.5,5,3,4,3,3,3,1.26,1559.0
1026,2,234,2,14.0,5,3,4,5,3,3,2.31,1189.0
1027,2,181,2,14.0,5,3,4,5,3,3,1.95,1060.0
1028,5,10,1,13.3,13,3,8,3,3,3,1.29,1624.0
1029,2,82,2,17.3,3,3,8,3,20,3,2.63,1080.0
1030,2,55,2,14.0,5,3,4,3,3,3,1.64,973.0
1031,3,4,2,15.6,5,6,6,7,6,3,2.1,409.0
1032,8,50,4,17.3,3,26,8,9,17,3,2.7,1191.8
1033,2,457,2,14.0,3,36,8,3,10,9,1.95,1195.0
1034,2,325,2,15.6,3,45,8,3,10,3,1.84,1228.99
1035,2,412,1,12.5,3,45,8,3,10,3,1.26,1349.0
1036,2,25,2,15.6,5,3,4,5,3,3,2.04,742.0
1037,10,513,1,14.0,6,50,8,3,10,3,1.47,1725.0
1038,5,512,2,15.6,3,83,8,3,10,9,2.09,1062.95
1039,2,55,2,14.0,3,3,8,3,3,3,1.64,1010.51
1040,6,514,5,15.6,8,45,4,3,10,3,1.8,847.0
1041,13,515,2,14.0,5,107,2,8,16,3,1.45,210.8
1042,10,516,2,15.6,6,45,16,3,53,3,2.4,1425.0
1043,6,517,2,15.6,3,36,8,3,10,3,2.3,1049.6
1044,2,101,2,14.0,3,36,4,5,10,3,1.54,1000.0
1045,2,325,2,15.6,3,83,8,20,10,3,1.84,2103.34
1046,2,232,2,14.0,3,36,8,3,10,9,1.43,1469.0
1047,8,518,4,17.3,6,79,16,12,51,3,3.78,1545.64
1048,6,519,4,17.3,6,73,16,9,51,3,4.6,2289.99
1049,4,520,3,11.6,5,31,4,24,16,8,1.2,287.9
1050,6,158,2,14.0,24,50,16,3,10,9,1.1,2620.0
1051,2,521,2,15.6,6,13,8,7,15,3,1.91,979.0
1052,5,522,5,15.6,8,108,8,3,3,3,2.3,1094.0
1053,2,25,2,15.6,5,3,4,3,3,3,2.04,979.0
1054,5,10,1,13.3,13,13,16,19,3,3,1.2,2254.0
1055,2,234,2,15.6,5,74,4,5,10,3,2.31,705.15
1056,2,523,2,15.6,5,3,4,5,3,2,1.96,499.0
1057,3,524,2,15.6,5,56,8,7,6,3,2.4,449.0
1058,5,525,5,13.3,8,13,12,3,3,3,1.6,1299.0
1059,8,526,4,15.6,3,73,16,12,24,3,2.94,1819.0
1060,2,25,2,15.6,3,13,8,3,3,3,2.04,1070.0
1061,4,527,4,17.3,6,73,16,7,67,2,4.0,998.0
1062,5,7,2,15.6,3,3,4,7,21,3,2.25,559.0
1063,5,84,2,15.6,3,13,16,15,38,3,2.32,989.99
1064,8,528,4,15.6,3,73,16,12,24,3,1.8,1929.0
1065,5,10,1,13.3,3,13,8,3,3,3,1.29,1458.0
1066,4,529,4,17.3,6,79,64,19,101,3,3.58,3975.0
1067,5,446,5,13.3,9,45,8,3,10,3,1.62,798.01
1068,5,369,4,15.6,21,73,16,12,73,3,3.21,1329.0
1069,1,8,1,12.0,7,109,8,6,41,4,0.92,1300.0
1070,5,530,2,15.6,5,74,4,5,10,3,2.06,481.98
1071,2,234,2,15.6,5,36,4,5,10,3,2.31,1199.0
1072,2,412,1,12.5,3,36,8,3,10,9,1.26,1199.0
1073,2,35,2,13.3,3,13,8,3,3,3,1.49,1090.0
1074,6,75,1,12.5,8,45,8,3,10,3,1.3,1713.49
1075,6,531,2,17.3,19,36,8,37,102,3,3.0,659.0
1076,6,532,2,15.6,6,89,4,7,49,3,2.3,977.0
1077,8,533,4,17.3,3,26,16,12,31,3,3.78,2499.0
1078,6,534,2,15.6,5,36,4,5,10,3,2.1,540.0
1079,2,470,2,15.6,3,36,4,5,10,9,2.31,940.0
1080,6,535,1,12.5,36,37,8,4,41,3,0.99,1399.0
1081,6,519,4,17.3,6,79,32,38,51,3,4.6,3240.0
1082,6,34,5,10.1,11,30,4,11,16,3,0.69,646.27
1083,2,77,1,13.3,20,13,16,4,3,3,1.3,2049.0
1084,5,156,2,15.6,3,3,8,3,3,3,2.18,750.0
1085,2,101,2,14.0,3,36,4,5,10,9,1.54,1030.99
1086,2,136,6,15.6,3,45,8,3,103,9,1.9,1495.0
1087,6,488,2,14.0,3,36,8,28,10,9,1.7,1199.0
1088,2,536,2,13.3,38,110,4,8,41,8,1.29,615.0
1089,3,524,2,15.6,5,56,4,5,6,3,2.4,387.0
1090,5,193,2,15.6,5,111,4,5,21,5,2.2,393.49
1091,2,3,2,15.6,5,10,4,7,10,2,1.86,345.99
1092,4,537,4,17.3,6,26,8,12,24,3,2.7,1599.0
1093,5,49,1,13.3,6,9,4,3,19,3,1.4,818.35
1094,2,186,3,12.5,5,36,4,1,10,9,2.4,1599.0
1095,3,538,2,15.6,3,3,8,12,49,3,2.4,799.0
1096,5,84,2,15.6,3,3,8,7,38,3,2.36,638.8
1097,8,539,4,17.3,3,73,8,3,67,3,2.6,1599.0
1098,2,523,2,15.6,5,58,4,7,58,3,1.96,500.0
1099,4,540,4,17.3,6,73,16,9,51,3,4.3,2299.0
1100,5,541,1,12.5,5,74,4,5,10,9,1.5,1135.15
1101,5,541,1,12.5,5,74,4,1,10,9,1.5,1166.97
1102,3,542,2,15.6,5,52,4,23,21,8,2.2,209.0
1103,2,307,6,17.3,6,73,8,7,104,9,3.0,2899.0
1104,6,12,4,15.6,3,26,16,4,32,3,2.4,1199.0
1105,5,541,1,12.5,5,36,8,3,10,9,1.5,1413.1
1106,8,543,4,17.3,3,73,8,9,70,3,2.9,1511.19
1107,6,514,5,15.6,8,36,4,3,10,3,2.1,867.0
1108,2,544,2,15.6,3,23,4,7,63,3,2.1,398.0
1109,4,545,4,15.6,6,73,16,9,70,3,2.59,1339.0
1110,2,303,2,13.3,13,112,8,3,41,3,1.16,1699.0
1111,5,546,2,15.6,5,36,4,5,105,9,2.24,769.15
1112,6,547,2,15.6,5,51,4,1,10,3,2.1,429.0
1113,2,548,1,13.3,3,45,8,4,10,3,1.16,1969.0
1114,6,34,5,10.1,11,30,4,11,16,6,0.69,549.0
1115,5,10,1,13.3,3,34,8,3,1,3,1.23,1379.0
1116,6,519,4,17.3,6,79,16,39,51,3,4.6,2749.99
1117,14,431,1,12.5,39,45,8,3,10,3,1.25,1029.0
1118,10,549,1,13.3,3,13,16,4,3,3,1.05,2226.0
1119,4,550,4,17.3,3,73,8,9,70,3,3.52,1312.49
1120,13,551,2,13.3,3,107,4,8,16,3,1.35,196.0
1121,2,548,2,13.3,3,36,8,3,10,3,1.16,1690.0
1122,2,232,2,14.0,3,36,8,3,10,9,1.43,1513.0
1123,5,512,2,15.6,5,36,4,5,10,5,2.09,523.63
1124,4,38,2,15.6,5,15,4,7,3,3,2.0,435.0
1125,6,75,5,14.0,8,45,8,3,10,3,1.8,1669.0
1126,6,34,5,10.1,11,30,4,11,16,3,0.69,479.0
1127,2,412,1,12.5,5,83,8,3,10,9,1.26,1895.0
1128,6,12,4,15.6,6,17,8,9,24,2,2.4,989.0
1129,2,552,4,17.3,6,89,8,9,24,3,3.35,1129.0
1130,2,553,2,15.6,5,13,8,15,3,3,2.04,629.0
1131,6,554,5,14.0,8,50,8,4,106,9,1.8,2050.38
1132,4,555,2,14.0,5,24,4,8,22,3,1.5,278.0
1133,2,3,1,15.6,3,13,8,3,3,3,1.84,752.0
1134,3,124,2,15.6,3,3,4,7,15,3,2.23,616.0
1135,6,556,2,15.6,3,45,16,17,107,3,2.5,1099.0
1136,2,307,6,17.3,6,73,8,3,108,9,3.0,3949.4
1137,5,84,2,15.6,5,3,8,7,38,3,2.5,784.0
1138,8,518,4,17.3,3,65,16,12,51,3,3.78,2399.0
1139,2,325,1,15.6,3,45,8,3,10,9,1.88,2171.72
1140,6,158,5,14.0,36,50,16,4,10,3,2.8,2440.0
1141,8,557,4,15.6,3,26,8,9,17,3,2.4,1142.8
1142,2,548,5,13.3,9,83,8,3,10,3,1.48,1629.0
1143,2,394,6,15.6,6,73,8,3,84,9,2.59,2229.0
1144,2,548,5,13.3,18,50,8,3,10,3,1.48,1799.0
1145,2,480,6,15.6,3,73,8,3,84,9,2.0,1899.0
1146,2,412,1,12.5,3,113,8,3,10,9,1.26,2296.95
1147,5,280,2,15.6,3,13,8,3,15,3,2.18,1009.9
1148,2,325,2,15.6,3,36,8,3,10,9,1.88,1579.0
1149,6,158,5,14.0,36,45,8,3,10,3,1.27,2339.0
1150,6,558,2,15.6,5,51,4,7,10,2,1.9,339.0
1151,2,559,2,15.6,5,76,4,5,71,3,1.86,297.0
1152,6,560,2,15.6,3,36,8,7,102,2,2.32,599.0
1153,5,98,4,15.6,3,26,8,7,96,3,2.62,1199.0
1154,5,116,2,15.6,35,89,8,3,109,3,2.04,2250.68
1155,2,561,2,15.6,3,48,4,3,30,3,1.91,478.89
1156,8,562,4,17.3,3,26,16,12,32,3,2.7,1492.8
1157,6,563,1,14.0,3,50,12,4,10,9,1.4,2299.0
1158,6,564,2,15.6,3,36,8,17,102,3,2.5,788.49
1159,2,548,5,13.3,18,50,8,4,10,3,1.48,2041.0
1160,6,488,1,14.0,3,50,8,3,10,9,1.7,1499.0
1161,8,565,4,14.0,3,73,16,12,73,3,1.7,1769.0
1162,2,566,4,15.6,6,26,8,7,17,3,2.62,899.0
1163,6,567,2,15.6,5,51,8,7,10,3,2.2,459.0
1164,2,568,2,15.6,5,36,4,5,10,2,2.1,476.99
1165,5,98,4,15.6,21,26,8,9,32,3,2.62,1498.0
1166,6,296,2,15.6,6,3,8,3,3,3,1.95,1390.0
1167,6,569,2,15.6,3,10,4,7,48,3,2.2,468.0
1168,2,570,2,14.0,5,31,2,8,16,3,1.44,249.0
1169,8,571,4,15.6,6,13,8,7,17,3,2.2,839.0
1170,2,523,2,15.6,3,45,8,3,10,3,1.96,679.0
1171,2,25,2,15.6,3,8,16,4,9,3,2.1,1159.0
1172,4,572,2,15.6,5,86,4,5,21,3,2.2,369.0
1173,6,573,2,15.6,5,36,4,5,10,2,2.1,398.0
1174,6,466,2,15.6,3,13,8,7,15,2,2.2,709.0
1175,4,574,2,14.0,3,15,4,3,3,3,2.0,769.0
1176,6,575,2,15.6,3,45,4,17,10,9,2.32,825.0
1177,6,352,4,15.6,6,73,16,4,76,3,3.31,1305.0
