,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
438,6,245,1,14.0,28,13,24,4,3,3,1.32,2382.0
439,4,38,2,15.6,3,3,4,3,3,5,2.0,559.0
440,6,56,2,17.3,19,23,8,7,63,3,2.8,519.0
441,5,17,2,15.6,3,9,4,3,19,3,2.2,749.0
442,6,246,1,12.5,6,3,8,3,3,3,1.36,1429.0
443,6,174,2,15.6,3,29,4,1,43,3,2.2,349.0
444,2,247,4,15.6,6,26,8,9,17,3,2.2,1099.0
445,5,236,2,14.0,3,68,8,3,20,3,1.64,1179.0
446,3,248,2,15.6,5,3,4,5,3,5,2.4,441.8
447,5,249,6,15.6,3,44,8,27,64,3,2.23,1993.0
448,8,250,4,15.6,3,17,8,3,17,3,2.2,1027.74
449,9,48,1,13.5,12,69,16,4,1,7,1.25,2589.0
450,2,251,2,15.6,5,3,8,1,3,3,1.91,589.0
451,5,249,6,15.6,6,65,16,3,64,3,2.17,1975.0
452,2,234,6,15.6,6,53,8,4,3,3,2.31,1534.0
453,6,252,2,14.0,3,3,8,3,3,3,1.65,1345.0
454,5,17,2,15.6,3,8,8,9,19,3,2.36,979.0
455,5,253,5,11.6,22,58,4,5,58,3,1.47,479.0
456,5,133,2,17.3,6,70,8,7,24,3,4.42,2046.0
457,9,48,1,13.5,12,71,4,1,13,7,1.252,989.0
458,9,48,1,13.5,12,69,8,3,1,7,1.25,1799.0
459,2,254,2,17.3,19,10,8,3,10,3,2.5,639.9
460,3,124,2,15.6,3,10,4,7,15,3,2.23,544.0
461,3,182,3,11.6,5,31,4,1,16,3,1.4,435.0
462,4,255,2,15.6,3,3,8,7,3,3,2.37,749.0
463,6,256,2,14.0,6,13,8,4,65,2,1.5,799.0
464,6,242,2,15.6,3,53,8,3,62,3,2.67,2090.0
465,4,257,2,15.6,5,29,4,5,22,3,2.0,304.0
466,3,60,2,15.6,5,10,4,5,35,3,2.2,469.0
467,5,17,2,15.6,3,9,8,15,19,3,2.02,759.0
468,2,258,4,17.3,6,26,12,7,24,3,3.78,1699.0
469,6,259,1,14.0,29,50,12,3,10,3,1.4,1858.0
470,2,77,5,13.3,15,8,8,4,9,3,1.29,1999.0
471,2,136,2,15.6,3,3,8,5,50,3,1.9,1154.0
472,17,244,1,12.3,27,72,8,1,13,8,1.1,1275.0
473,5,260,1,13.3,9,9,8,3,9,3,1.42,1841.85
474,4,44,2,15.6,20,73,12,9,66,3,2.06,1299.0
475,5,261,2,14.0,5,74,8,1,10,3,1.79,740.0
476,5,222,6,15.6,3,26,8,3,47,3,1.78,2408.0
477,6,73,2,14.0,3,3,8,28,3,3,1.7,1364.0
478,5,36,2,15.6,3,9,8,7,30,3,2.2,675.0
479,10,262,2,13.3,6,3,8,3,3,3,1.05,1672.0
480,5,78,2,15.6,6,8,8,4,15,3,2.16,1262.0
481,5,156,2,15.6,5,15,4,7,3,3,2.18,586.6
482,2,35,2,13.3,6,9,4,1,9,3,1.49,726.0
483,7,263,2,15.6,3,16,4,11,21,3,1.89,248.9
484,6,264,2,15.6,5,51,4,1,10,3,2.3,565.0
485,6,90,2,14.0,6,9,8,3,9,3,1.75,1049.0
486,5,249,6,15.6,6,65,16,4,64,3,2.17,2338.0
487,5,116,2,15.6,3,26,16,4,17,3,2.06,1899.0
488,6,265,1,12.5,6,13,16,4,3,3,1.36,1798.0
489,4,266,1,12.5,3,13,16,4,3,3,0.91,1950.0
490,6,267,2,15.6,6,3,8,3,15,3,2.3,1011.99
491,10,268,1,13.3,9,13,32,4,3,3,1.05,2799.0
492,4,144,4,15.6,3,26,8,9,17,3,1.99,1350.0
493,3,60,2,15.6,5,75,8,7,59,3,2.2,579.0
494,4,269,4,17.3,8,73,24,12,67,3,4.33,1269.0
495,6,270,1,12.5,14,36,8,28,10,3,1.3,1099.0
496,6,271,2,15.6,3,8,8,3,9,3,2.17,898.9
497,2,101,2,14.0,3,55,8,19,3,3,1.48,1749.0
498,6,180,2,13.3,6,15,8,3,3,3,1.4,949.0
499,6,272,2,15.6,6,3,8,3,3,3,2.3,911.0
500,4,273,3,11.6,5,24,4,11,22,7,1.2,340.0
501,2,274,2,15.6,5,3,8,3,30,3,1.91,618.99
502,6,114,5,13.9,8,9,8,3,9,3,1.4,1599.0
503,6,275,2,14.0,5,24,4,5,22,3,2.1,299.0
504,6,276,3,11.6,5,31,4,23,16,8,1.25,265.0
505,6,180,2,13.3,3,3,8,3,3,3,1.44,949.0
506,4,277,2,15.6,3,13,8,12,3,3,2.0,1224.0
507,3,278,2,15.6,6,9,4,7,8,3,2.2,613.0
508,2,279,1,13.3,6,13,8,4,3,3,1.34,1323.0
509,6,12,4,15.6,6,26,8,12,24,2,2.4,1149.0
510,5,10,1,13.3,8,3,8,1,3,3,1.29,899.0
511,3,29,2,15.6,3,13,4,5,15,3,2.2,639.0
512,5,280,2,15.6,3,3,8,7,3,3,2.18,836.0
513,5,17,2,15.6,3,8,16,13,19,3,2.2,1219.24
514,12,115,2,15.6,6,8,16,3,8,2,1.95,1399.95
515,4,281,3,11.6,5,24,2,8,22,3,1.1,245.0
516,2,282,2,15.6,22,9,4,7,9,3,2.04,521.47
517,4,283,4,15.6,3,26,24,4,68,3,2.24,2968.0
518,2,284,2,15.6,3,3,8,3,20,3,2.04,889.0
519,4,285,4,17.3,3,26,16,12,69,3,3.0,1504.0
520,6,125,4,15.6,6,26,8,12,24,3,3.2,1399.0
521,2,286,1,13.3,6,13,8,3,3,3,1.32,1399.0
522,5,236,2,14.0,3,60,8,3,3,3,1.64,1279.73
523,2,55,2,15.6,5,10,4,1,10,3,1.63,689.0
524,5,24,2,17.3,6,9,8,9,19,5,2.8,889.0
525,6,221,2,14.0,3,36,8,3,10,9,2.02,1340.0
526,6,9,2,15.6,3,13,4,7,28,3,2.2,799.0
527,6,31,2,15.6,5,10,8,15,48,2,2.2,459.0
528,5,7,2,15.6,3,3,4,5,12,3,2.3,585.0
529,5,287,2,15.6,3,68,8,3,3,3,1.9,1377.0
530,5,133,4,17.3,6,26,16,9,31,3,4.42,3012.77
